Region,Localidad,Precio_USD_kWh,Fuente_Tarifa,URL_Fuente,Sistema de Enfriamiento,Horas Totales,Free Cooling Hours,FCH %,Energia Total (kWh),OPEX 3 Anios (USD)
Europa,"Amsterdam, Holanda",0.1865,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,RDHx (Puerta Trasera),26304,11157,42.4,3555105.0,663027.08
Europa,"Amsterdam, Holanda",0.1865,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Termosifon Bifasico Original,26304,18371,69.8,3210760.0,598806.74
Europa,"Amsterdam, Holanda",0.1865,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,D2C Bifasico (Direct-to-Chip),26304,25967,98.7,2766975.0,516040.84
Europa,"Amsterdam, Holanda",0.1865,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,500380.99
Europa,"Dublin, Irlanda",0.273,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,1292578.56
Europa,"Dublin, Irlanda",0.273,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,RDHx (Puerta Trasera),26304,11635,44.2,3538375.0,965976.38
Europa,"Dublin, Irlanda",0.273,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Termosifon Bifasico Original,26304,21112,80.3,3101120.0,846605.76
Europa,"Dublin, Irlanda",0.273,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,D2C Bifasico (Direct-to-Chip),26304,26256,99.8,2762640.0,754200.72
Europa,"Dublin, Irlanda",0.273,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,732461.18
,"Zurich, Suiza",0,,,CRAC (Aire Acond. Tradicional),0,0,0,0.0,0.0
,"Zurich, Suiza",0,,,RDHx (Puerta Trasera),0,0,0,0.0,0.0
,"Zurich, Suiza",0,,,Termosifon Bifasico Original,0,0,0,0.0,0.0
,"Zurich, Suiza",0,,,D2C Bifasico (Direct-to-Chip),0,0,0,0.0,0.0
,"Zurich, Suiza",0,,,Inmersion Liquida Bifasica,0,0,0,0.0,0.0
Europa,"Londres, UK",0.16,Eurostat NRG_PC_205 2024-S2 (referencia),https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,757555.2
Europa,"Londres, UK",0.16,Eurostat NRG_PC_205 2024-S2 (referencia),https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,RDHx (Puerta Trasera),26304,10082,38.3,3592730.0,574836.8
